cargas,forca,Lo,L,x,K
1,0.23,27,34,0.007,32.86
2,0.45,27,41.4,0.0144,31.25
3,0.55,27,44.2,0.0172,31.98
4,0.68,27,47.2,0.0202,33.66
5,0.72,27,50,0.023,31.3
6,0.83,27,51.9,0.0249,33.33
7,1.21,27,66,0.039,31.03
8,1.23,27,66.3,0.0393,31.3
9,1.35,27,69.3,0.0423,31.91
10,1.71,27,82.5,0.0555,30.81
11,1.75,27,83.8,0.0568,30.81
12,1.92,27,91.7,0.0647,29.68
13,2.04,27,94.6,0.0676,30.18
14,2.15,27,97.4,0.0704,30.54
15,2.19,27,98.5,0.0715,30.63
16,2.25,27,99.74,0.07274,30.93
17,2.4,27,105.5,0.0785,30.57
18,2.55,27,108.2,0.0812,31.4
19,2.72,27,112.3,0.0853,31.89
20,2.85,27,119.5,0.0925,30.81
